Date,Close,Open,High,Low,Volume,Change
2013-06-06,8096.14,8135.56,8162.25,8088.31,2350000.0,-0.0105
2013-06-07,8095.2,8113.95,8146.78,8071.98,2540000.0,-0.0001
2013-06-10,8160.55,8161.51,8190.87,8142.71,1700000.0,0.008100000000000001
2013-06-11,8116.15,8178.95,8178.95,8116.15,1810000.0,-0.0054
2013-06-13,7951.66,8041.5,8057.33,7951.66,2290000.0,-0.0203
2013-06-14,7937.74,7978.75,7989.19,7912.37,2089999.9999999998,-0.0018
2013-06-17,7992.89,7953.65,7999.43,7940.72,1510000.0,0.0069
2013-06-18,8011.02,7994.81,8024.95,7955.74,1720000.0,0.0023
2013-06-19,8007.39,8033.32,8056.19,8005.57,1800000.0,-0.0005
2013-06-20,7898.91,7952.36,7962.76,7890.93,2160000.0,-0.013500000000000002
2013-06-21,7793.31,7778.84,7815.79,7739.09,3270000.0,-0.0134
2013-06-24,7758.03,7788.45,7815.1,7744.49,2150000.0,-0.0045000000000000005
2013-06-25,7663.23,7750.34,7792.27,7663.23,2370000.0,-0.012199999999999999
2013-06-26,7784.8,7789.34,7821.14,7742.2,2410000.0,0.0159
2013-06-27,7883.9,7841.32,7884.13,7834.33,2370000.0,0.0127
2013-06-28,8062.21,7928.54,8062.21,7891.06,2250000.0,0.0226
2013-07-01,8036.0,8011.95,8063.47,7974.15,2060000.0,-0.0033
2013-07-02,8015.86,8061.84,8064.12,8012.79,1990000.0,-0.0025
2013-07-03,7911.42,7991.53,7995.3,7899.08,2280000.0,-0.013000000000000001
2013-07-04,7893.72,7919.26,7927.08,7877.06,1800000.0,-0.0022
2013-07-05,8001.82,7932.3,8018.93,7926.35,1880000.0,0.0137
2013-07-08,7886.34,7980.11,7992.16,7885.0,1740000.0,-0.0144
2013-07-09,7971.18,7891.53,7975.64,7891.37,1740000.0,0.0108
2013-07-10,8011.69,7974.99,8057.92,7974.99,2280000.0,0.0051
2013-07-11,8179.54,8080.97,8179.54,8080.97,2720000.0,0.021
2013-07-12,8220.49,8187.86,8220.49,8169.92,2280000.0,0.005
2013-07-15,8254.68,8178.26,8254.68,8175.55,2130000.0,0.0042
2013-07-16,8260.11,8243.62,8260.11,8222.17,2450000.0,0.0007000000000000001
2013-07-17,8258.95,8239.1,8260.25,8208.71,2680000.0,-0.0001
2013-07-18,8194.88,8238.28,8265.7,8181.99,2560000.0,-0.0078000000000000005
2013-07-19,8062.03,8117.94,8139.81,8046.7,2540000.0,-0.016200000000000003
2013-07-22,8105.45,8092.03,8137.37,8092.03,1950000.0,0.0054
2013-07-23,8214.65,8152.72,8220.89,8145.09,2610000.0,0.013500000000000002
2013-07-24,8196.19,8222.85,8233.1,8172.23,2210000.0,-0.0022
2013-07-25,8163.58,8173.19,8203.49,8140.41,2040000.0,-0.004
2013-07-26,8149.4,8188.36,8222.82,8135.73,1830000.0,-0.0017000000000000001
2013-07-29,8084.5,8146.14,8163.89,8074.29,1570000.0,-0.008
2013-07-30,8163.55,8113.17,8176.74,8112.91,1790000.0,0.0098
2013-07-31,8107.94,8163.44,8170.57,8107.6,2080000.0,-0.0068000000000000005
2013-08-01,8056.22,8110.73,8113.4,8056.22,2020000.0,-0.0064
2013-08-02,8099.88,8114.51,8162.91,8087.1,2270000.0,0.0054
2013-08-05,8138.63,8104.2,8143.44,8075.99,1870000.0,0.0048
2013-08-06,8038.91,8129.85,8129.85,8028.93,2089999.9999999998,-0.0123
2013-08-07,7921.29,7993.57,7993.57,7921.29,2089999.9999999998,-0.0146
2013-08-08,7907.67,7910.2,7932.35,7894.18,1950000.0,-0.0017000000000000001
2013-08-09,7856.14,7955.0,7955.0,7853.97,2009999.9999999998,-0.006500000000000001
2013-08-12,7903.38,7878.22,7908.68,7862.04,1670000.0,0.006
2013-08-13,7986.27,7935.79,7986.27,7935.79,1920000.0,0.0105
2013-08-14,7951.33,7978.74,7981.56,7926.23,2000000.0,-0.0044
2013-08-15,7887.26,7903.01,7916.02,7850.27,2170000.0,-0.008100000000000001
2013-08-16,7925.0,7854.68,7949.43,7850.49,2040000.0,0.0048
2013-08-19,7900.21,7937.45,7944.74,7888.87,1800000.0,-0.0031
2013-08-20,7832.65,7896.38,7924.52,7829.78,2049999.9999999998,-0.0086
2013-08-21,7832.65,7896.38,7924.52,7829.78,2049999.9999999998,0.0
2013-08-22,7814.38,7779.44,7825.56,7737.33,2260000.0,-0.0023
2013-08-23,7873.31,7863.73,7895.13,7845.92,1950000.0,0.0075
2013-08-26,7894.97,7906.52,7913.74,7874.05,1560000.0,0.0028000000000000004
2013-08-27,7820.84,7875.93,7895.23,7820.84,1850000.0,-0.009399999999999999
